level,name,sub_code,sub_label,class_range,nipun_strand,is_review,num_images,image_search_queries,question_gen_prompt
18,Ordering,18.1,Easier_Remediation,2,Number Sense,False,14,ascending descending order easy bw; order numbers worksheet easy bw; arrange numbers order easy bw; least to greatest worksheet easy bw; greatest to least worksheet easy bw; number ordering worksheet easy bw; ascending order worksheet easy bw; descending order worksheet easy bw; order numbers 1-30 easy bw; increasing decreasing order easy bw,SIMPLER VERSION — Arrange numbers in ascending/descending order. Easier: order 5 numbers up to 50. Easier: order 3-4 numbers up to 30. Further: order 3 numbers with number line support.
18,Ordering,18.2,Further_Remediation,2,Number Sense,False,14,ascending descending order beginner bw; order numbers worksheet beginner bw; arrange numbers order beginner bw; least to greatest worksheet beginner bw; greatest to least worksheet beginner bw; number ordering worksheet beginner bw; ascending order worksheet beginner bw; descending order worksheet beginner bw; order numbers 1-30 beginner bw; increasing decreasing order beginner bw,"SIMPLEST VERSION — Max scaffolding, minimal items. Arrange numbers in ascending/descending order. Further: order 5 numbers up to 50. Easier: order 3-4 numbers up to 30. Further: order 3 numbers with number line support."
19,Numbers 31-50,19.0,Mastery,2,Number Sense,False,18,numbers 31-50 worksheet bw; counting 31-50 worksheet bw; number recognition 31-50 bw; count and write 31-50 bw; number chart 31-50 bw; missing numbers 31-50 bw; numbers 31 to 50 bw; number sequencing 31-50 bw; color by number 31-50 bw; counting objects 31-50 bw,"Recognise, read, write numbers 31-50. Sequence filling, missing numbers. Mastery: count and write 31-50, fill missing numbers. Easier: count objects, write number 31-40. Further: trace and write numbers 31-35."
19,Numbers 31-50,19.1,Easier_Remediation,2,Number Sense,False,14,numbers 31-50 worksheet easy bw; counting 31-50 worksheet easy bw; number recognition 31-50 easy bw; count and write 31-50 easy bw; number chart 31-50 easy bw; missing numbers 31-50 easy bw; numbers 31 to 50 easy bw; number sequencing 31-50 easy bw; color by number 31-50 easy bw; counting objects 31-50 easy bw,"SIMPLER VERSION — Recognise, read, write numbers 31-50. Sequence filling, missing numbers. Easier: count and write 31-50, fill missing numbers. Easier: count objects, write number 31-40. Further: trace and write numbers 31-35."
19,Numbers 31-50,19.2,Further_Remediation,2,Number Sense,False,14,numbers 31-50 worksheet beginner bw; counting 31-50 worksheet beginner bw; number recognition 31-50 beginner bw; count and write 31-50 beginner bw; number chart 31-50 beginner bw; missing numbers 31-50 beginner bw; numbers 31 to 50 beginner bw; number sequencing 31-50 beginner bw; color by number 31-50 beginner bw; counting objects 31-50 beginner bw,"SIMPLEST VERSION — Max scaffolding, minimal items. Recognise, read, write numbers 31-50. Sequence filling, missing numbers. Further: count and write 31-50, fill missing numbers. Easier: count objects, write number 31-40. Further: trace and write numbers 31-35."
20,Skip Counting in 2s/3s,20.0,Mastery,2,Patterns,False,18,skip counting worksheet bw; skip counting by 2s bw; skip counting by 3s bw; count by 2s worksheet bw; count by 3s worksheet bw; skip counting activity bw; fill missing skip counting bw; skip counting practice bw; skip counting number line bw; skip counting chart bw,"Skip count by 2s and 3s. Easy: forward pattern — 2,4,6,8,__,__ (pattern recognition). Medium: fill missing in middle — 4,__,12,__,16 (working memory). Hard: reverse — 10,8,6,__ (mental arithmetic). Mastery: mix of easy + medium. Easier: forward only with number line. Further: trace skip-count pattern."
20,Skip Counting in 2s/3s,20.1,Easier_Remediation,2,Patterns,False,14,skip counting worksheet easy bw; skip counting by 2s easy bw; skip counting by 3s easy bw; count by 2s worksheet easy bw; count by 3s worksheet easy bw; skip counting activity easy bw; fill missing skip counting easy bw; skip counting practice easy bw; skip counting number line easy bw; skip counting chart easy bw,"SIMPLER VERSION — Skip count by 2s and 3s. Easy: forward pattern — 2,4,6,8,__,__ (pattern recognition). Medium: fill missing in middle — 4,__,12,__,16 (working memory). Hard: reverse — 10,8,6,__ (mental arithmetic). Easier: mix of easy + medium. Easier: forward only with number line. Further: trace skip-count pattern."
20,Skip Counting in 2s/3s,20.2,Further_Remediation,2,Patterns,False,14,skip counting worksheet beginner bw; skip counting by 2s beginner bw; skip counting by 3s beginner bw; count by 2s worksheet beginner bw; count by 3s worksheet beginner bw; skip counting activity beginner bw; fill missing skip counting beginner bw; skip counting practice beginner bw; skip counting number line beginner bw; skip counting chart beginner bw,"SIMPLEST VERSION — Max scaffolding, minimal items. Skip count by 2s and 3s. Easy: forward pattern — 2,4,6,8,__,__ (pattern recognition). Medium: fill missing in middle — 4,__,12,__,16 (working memory). Hard: reverse — 10,8,6,__ (mental arithmetic). Further: mix of easy + medium. Easier: forward only with number line. Further: trace skip-count pattern."
21,Comparison (1-50),21.0,Mastery,2,Number Sense,False,18,comparison 1-50 worksheet bw; greater less than 1-50 bw; comparing numbers 1-50 bw; compare numbers worksheet bw; more less equal to 50 bw; number comparison 1-50 bw; greater smaller number bw; compare 2 digit numbers bw; number inequality 1-50 bw; using comparison symbols bw,"Compare numbers 1-50 using >, <, =. Object comparison first (easy: 🍎🍎🍎 vs 🍎🍎🍎🍎🍎), then finger comparison (moderate: 3 fingers vs 4), then abstract numerals (hard: 4 vs 5, 8 vs 9). Mastery: all variations. Easier: compare object groups. Further: small numerals with dot arrays."
21,Comparison (1-50),21.1,Easier_Remediation,2,Number Sense,False,14,comparison 1-50 worksheet easy bw; greater less than 1-50 easy bw; comparing numbers 1-50 easy bw; compare numbers worksheet easy bw; more less equal to 50 easy bw; number comparison 1-50 easy bw; greater smaller number easy bw; compare 2 digit numbers easy bw; number inequality 1-50 easy bw; using comparison symbols easy bw,"SIMPLER VERSION — Compare numbers 1-50 using >, <, =. Object comparison first (easy: 🍎🍎🍎 vs 🍎🍎🍎🍎🍎), then finger comparison (moderate: 3 fingers vs 4), then abstract numerals (hard: 4 vs 5, 8 vs 9). Easier: all variations. Easier: compare object groups. Further: small numerals with dot arrays."
21,Comparison (1-50),21.2,Further_Remediation,2,Number Sense,False,14,comparison 1-50 worksheet beginner bw; greater less than 1-50 beginner bw; comparing numbers 1-50 beginner bw; compare numbers worksheet beginner bw; more less equal to 50 beginner bw; number comparison 1-50 beginner bw; greater smaller number beginner bw; compare 2 digit numbers beginner bw; number inequality 1-50 beginner bw; using comparison symbols beginner bw,"SIMPLEST VERSION — Max scaffolding, minimal items. Compare numbers 1-50 using >, <, =. Object comparison first (easy: 🍎🍎🍎 vs 🍎🍎🍎🍎🍎), then finger comparison (moderate: 3 fingers vs 4), then abstract numerals (hard: 4 vs 5, 8 vs 9). Further: all variations. Easier: compare object groups. Further: small numerals with dot arrays."
22,Ordering (51-100),22.0,Mastery,2,Number Sense,False,18,ordering numbers 51-100 bw; ascending order 51-100 bw; descending order 51-100 bw; least greatest 51-100 bw; number order to 100 bw; arrange numbers worksheet bw; order numbers 51-100 bw; sequencing numbers to 100 bw; sort numbers worksheet bw; increasing order to 100 bw,Arrange numbers 51-100 in ascending and descending order. Mastery: order 5-6 numbers. Easier: order 3-4 numbers. Further: order 3 numbers with visual number line.
22,Ordering (51-100),22.1,Easier_Remediation,2,Number Sense,False,14,ordering numbers 51-100 easy bw; ascending order 51-100 easy bw; descending order 51-100 easy bw; least greatest 51-100 easy bw; number order to 100 easy bw; arrange numbers worksheet easy bw; order numbers 51-100 easy bw; sequencing numbers to 100 easy bw; sort numbers worksheet easy bw; increasing order to 100 easy bw,SIMPLER VERSION — Arrange numbers 51-100 in ascending and descending order. Easier: order 5-6 numbers. Easier: order 3-4 numbers. Further: order 3 numbers with visual number line.
22,Ordering (51-100),22.2,Further_Remediation,2,Number Sense,False,14,ordering numbers 51-100 beginner bw; ascending order 51-100 beginner bw; descending order 51-100 beginner bw; least greatest 51-100 beginner bw; number order to 100 beginner bw; arrange numbers worksheet beginner bw; order numbers 51-100 beginner bw; sequencing numbers to 100 beginner bw; sort numbers worksheet beginner bw; increasing order to 100 beginner bw,"SIMPLEST VERSION — Max scaffolding, minimal items. Arrange numbers 51-100 in ascending and descending order. Further: order 5-6 numbers. Easier: order 3-4 numbers. Further: order 3 numbers with visual number line."
23,Review Assessment 3,23.0,Mastery,2,Review,True,12,review assessment grade 2 bw; math review worksheet g2 bw; mixed math practice bw; cumulative review math bw; assessment math grade 2 bw; skill review worksheet bw; math test prep grade 2 bw; mixed operations worksheet bw; math checkpoint worksheet bw; summative assessment math bw,"Cumulative review of Levels 12-22. Covers: place value, numbers 11-50, skip counting, ordering, comparison, addition/subtraction 1-30. 50% easy, 35% moderate, 15% hard. No single cumulative exam — mastery at topic level."
23,Review Assessment 3,23.1,Easier_Remediation,2,Review,True,8,review assessment grade 2 easy bw; math review worksheet g2 easy bw; mixed math practice easy bw; cumulative review math easy bw; assessment math grade 2 easy bw; skill review worksheet easy bw; math test prep grade 2 easy bw; mixed operations worksheet easy bw; math checkpoint worksheet easy bw; summative assessment math easy bw,"SIMPLER VERSION — Cumulative review of Levels 12-22. Covers: place value, numbers 11-50, skip counting, ordering, comparison, addition/subtraction 1-30. 50% easy, 35% moderate, 15% hard. No single cumulative exam — mastery at topic level."
23,Review Assessment 3,23.2,Further_Remediation,2,Review,True,6,review assessment grade 2 beginner bw; math review worksheet g2 beginner bw; mixed math practice beginner bw; cumulative review math beginner bw; assessment math grade 2 beginner bw; skill review worksheet beginner bw; math test prep grade 2 beginner bw; mixed operations worksheet beginner bw; math checkpoint worksheet beginner bw; summative assessment math beginner bw,"SIMPLEST VERSION — Max scaffolding, minimal items. Cumulative review of Levels 12-22. Covers: place value, numbers 11-50, skip counting, ordering, comparison, addition/subtraction 1-30. 50% easy, 35% moderate, 15% hard. No single cumulative exam — mastery at topic level."
24,Place Value / Numbers 51-100,24.0,Mastery,2,Place Value,False,12,numbers 51-100 worksheet bw; counting 51-100 worksheet bw; missing numbers 51-100 bw; number chart 51 to 100 bw; write numbers 51-100 bw; number recognition 51-100 bw; count to 100 worksheet bw; number sequencing 51-100 bw; hundred chart activities bw; numbers to 100 worksheet bw,"Place value with tens and ones blocks for 51-100. Identify how many tens and ones. Mastery: write expanded form. Easier: count blocks, write number. Further: match block picture to numeral."
24,Place Value / Numbers 51-100,24.1,Easier_Remediation,2,Place Value,False,10,numbers 51-100 worksheet easy bw; counting 51-100 worksheet easy bw; missing numbers 51-100 easy bw; number chart 51 to 100 easy bw; write numbers 51-100 easy bw; number recognition 51-100 easy bw; count to 100 worksheet easy bw; number sequencing 51-100 easy bw; hundred chart activities easy bw; numbers to 100 worksheet easy bw,"SIMPLER VERSION — Place value with tens and ones blocks for 51-100. Identify how many tens and ones. Easier: write expanded form. Easier: count blocks, write number. Further: match block picture to numeral."
24,Place Value / Numbers 51-100,24.2,Further_Remediation,2,Place Value,False,10,numbers 51-100 worksheet beginner bw; counting 51-100 worksheet beginner bw; missing numbers 51-100 beginner bw; number chart 51 to 100 beginner bw; write numbers 51-100 beginner bw; number recognition 51-100 beginner bw; count to 100 worksheet beginner bw; number sequencing 51-100 beginner bw; hundred chart activities beginner bw; numbers to 100 worksheet beginner bw,"SIMPLEST VERSION — Max scaffolding, minimal items. Place value with tens and ones blocks for 51-100. Identify how many tens and ones. Further: write expanded form. Easier: count blocks, write number. Further: match block picture to numeral."
25,Carry Addition,25.0,Mastery,2-3,Number Operations,False,12,carry addition worksheet bw; addition with regrouping worksheet bw; 2 digit addition with carry bw; vertical addition with regrouping bw; addition carry over worksheet bw; adding with regrouping 2 digit bw; carry addition sums worksheet bw; addition regrouping practice bw; two digit addition with carry bw; addition with carry grade 2 bw,2-digit addition with carry/regrouping. Mastery: 2-digit + 2-digit with carry. Easier: 2-digit + 1-digit with carry (e.g. 27+8). Further: addition with visual block support showing regrouping.
25,Carry Addition,25.1,Easier_Remediation,2-3,Number Operations,False,10,carry addition worksheet easy bw; addition with regrouping worksheet easy bw; 2 digit addition with carry easy bw; vertical addition with regrouping easy bw; addition carry over worksheet easy bw; adding with regrouping 2 digit easy bw; carry addition sums worksheet easy bw; addition regrouping practice easy bw; two digit addition with carry easy bw; addition with carry grade 2 easy bw,SIMPLER VERSION — 2-digit addition with carry/regrouping. Easier: 2-digit + 2-digit with carry. Easier: 2-digit + 1-digit with carry (e.g. 27+8). Further: addition with visual block support showing regrouping.
25,Carry Addition,25.2,Further_Remediation,2-3,Number Operations,False,10,carry addition worksheet beginner bw; addition with regrouping worksheet beginner bw; 2 digit addition with carry beginner bw; vertical addition with regrouping beginner bw; addition carry over worksheet beginner bw; adding with regrouping 2 digit beginner bw; carry addition sums worksheet beginner bw; addition regrouping practice beginner bw; two digit addition with carry beginner bw; addition with carry grade 2 beginner bw,"SIMPLEST VERSION — Max scaffolding, minimal items. 2-digit addition with carry/regrouping. Further: 2-digit + 2-digit with carry. Easier: 2-digit + 1-digit with carry (e.g. 27+8). Further: addition with visual block support showing regrouping."
26,Borrow Subtraction,26.0,Mastery,2-3,Number Operations,False,12,borrow subtraction worksheet bw; subtraction with regrouping worksheet bw; 2 digit subtraction with borrow bw; vertical subtraction with regrouping bw; subtraction borrow over worksheet bw; subtracting with regrouping 2 digit bw; borrow subtraction sums worksheet bw; subtraction regrouping practice bw; two digit subtraction with borrow bw; subtraction with borrowing grade 2 bw,2-digit subtraction with borrowing/regrouping. Mastery: 2-digit - 2-digit with borrow. Easier: 2-digit - 1-digit with borrow. Further: subtraction with visual block support showing regrouping process.
26,Borrow Subtraction,26.1,Easier_Remediation,2-3,Number Operations,False,10,borrow subtraction worksheet easy bw; subtraction with regrouping worksheet easy bw; 2 digit subtraction with borrow easy bw; vertical subtraction with regrouping easy bw; subtraction borrow over worksheet easy bw; subtracting with regrouping 2 digit easy bw; borrow subtraction sums worksheet easy bw; subtraction regrouping practice easy bw; two digit subtraction with borrow easy bw; subtraction with borrowing grade 2 easy bw,SIMPLER VERSION — 2-digit subtraction with borrowing/regrouping. Easier: 2-digit - 2-digit with borrow. Easier: 2-digit - 1-digit with borrow. Further: subtraction with visual block support showing regrouping process.
26,Borrow Subtraction,26.2,Further_Remediation,2-3,Number Operations,False,10,borrow subtraction worksheet beginner bw; subtraction with regrouping worksheet beginner bw; 2 digit subtraction with borrow beginner bw; vertical subtraction with regrouping beginner bw; subtraction borrow over worksheet beginner bw; subtracting with regrouping 2 digit beginner bw; borrow subtraction sums worksheet beginner bw; subtraction regrouping practice beginner bw; two digit subtraction with borrow beginner bw; subtraction with borrowing grade 2 beginner bw,"SIMPLEST VERSION — Max scaffolding, minimal items. 2-digit subtraction with borrowing/regrouping. Further: 2-digit - 2-digit with borrow. Easier: 2-digit - 1-digit with borrow. Further: subtraction with visual block support showing regrouping process."
27,Comparison (Up to 100),27.0,Mastery,2-3,Number Sense,False,12,compare numbers to 100 worksheet bw; greater than less than 2 digit bw; comparing 2 digit numbers bw; compare numbers using symbols bw; more less numbers to 100 bw; number comparison grade 2 bw; greater less equal numbers bw; comparing numbers to 100 bw; number inequality worksheet bw,"Compare 2-digit numbers up to 100 using >, <, =. Mastery: any two 2-digit numbers. Easier: compare 2-digit number with tens/ones blocks. Further: compare using a number line."
27,Comparison (Up to 100),27.1,Easier_Remediation,2-3,Number Sense,False,10,compare numbers to 100 worksheet easy bw; greater than less than 2 digit easy bw; comparing 2 digit numbers easy bw; compare numbers using symbols easy bw; more less numbers to 100 easy bw; number comparison grade 2 easy bw; greater less equal numbers easy bw; comparing numbers to 100 easy bw; number inequality worksheet easy bw,"SIMPLER VERSION — Compare 2-digit numbers up to 100 using >, <, =. Easier: any two 2-digit numbers. Easier: compare 2-digit number with tens/ones blocks. Further: compare using a number line."
27,Comparison (Up to 100),27.2,Further_Remediation,2-3,Number Sense,False,10,compare numbers to 100 worksheet beginner bw; greater than less than 2 digit beginner bw; comparing 2 digit numbers beginner bw; compare numbers using symbols beginner bw; more less numbers to 100 beginner bw; number comparison grade 2 beginner bw; greater less equal numbers beginner bw; comparing numbers to 100 beginner bw; number inequality worksheet beginner bw,"SIMPLEST VERSION — Max scaffolding, minimal items. Compare 2-digit numbers up to 100 using >, <, =. Further: any two 2-digit numbers. Easier: compare 2-digit number with tens/ones blocks. Further: compare using a number line."
28,Ordering (Ascend/Descend),28.0,Mastery,2-3,Number Sense,False,12,ascending descending order worksheet bw; ordering numbers to 100 bw; least greatest numbers worksheet bw; arrange numbers ascending bw; arrange numbers descending bw; number order worksheet grade 2 bw; smallest largest number worksheet bw; numerical order worksheet bw; sequencing numbers to 100 bw,Order 3-5 numbers up to 100 in ascending and descending order. Mastery: 5 numbers both ways. Easier: 3-4 numbers ascending only. Further: 3 numbers with number line.
28,Ordering (Ascend/Descend),28.1,Easier_Remediation,2-3,Number Sense,False,10,ascending descending order worksheet easy bw; ordering numbers to 100 easy bw; least greatest numbers worksheet easy bw; arrange numbers ascending easy bw; arrange numbers descending easy bw; number order worksheet grade 2 easy bw; smallest largest number worksheet easy bw; numerical order worksheet easy bw; sequencing numbers to 100 easy bw,SIMPLER VERSION — Order 3-5 numbers up to 100 in ascending and descending order. Easier: 5 numbers both ways. Easier: 3-4 numbers ascending only. Further: 3 numbers with number line.
28,Ordering (Ascend/Descend),28.2,Further_Remediation,2-3,Number Sense,False,10,ascending descending order worksheet beginner bw; ordering numbers to 100 beginner bw; least greatest numbers worksheet beginner bw; arrange numbers ascending beginner bw; arrange numbers descending beginner bw; number order worksheet grade 2 beginner bw; smallest largest number worksheet beginner bw; numerical order worksheet beginner bw; sequencing numbers to 100 beginner bw,"SIMPLEST VERSION — Max scaffolding, minimal items. Order 3-5 numbers up to 100 in ascending and descending order. Further: 5 numbers both ways. Easier: 3-4 numbers ascending only. Further: 3 numbers with number line."
29,Data Handling - Tally Marks,29.0,Mastery,3,Data Handling,False,10,tally marks worksheet bw; tally chart worksheet bw; count tally marks worksheet bw; tally mark activity bw; draw tally marks worksheet bw; tally graph worksheet bw; reading tally marks bw; tally counting worksheet bw; data handling tally marks bw; tally marks kindergarten bw,"Count, draw, and interpret tally marks. Mastery: read tally charts and answer questions. Easier: count tally marks and write number. Further: match tally mark group to correct numeral."
29,Data Handling - Tally Marks,29.1,Easier_Remediation,3,Data Handling,False,8,tally marks worksheet easy bw; tally chart worksheet easy bw; count tally marks worksheet easy bw; tally mark activity easy bw; draw tally marks worksheet easy bw; tally graph worksheet easy bw; reading tally marks easy bw; tally counting worksheet easy bw; data handling tally marks easy bw; tally marks kindergarten easy bw,"SIMPLER VERSION — Count, draw, and interpret tally marks. Easier: read tally charts and answer questions. Easier: count tally marks and write number. Further: match tally mark group to correct numeral."
29,Data Handling - Tally Marks,29.2,Further_Remediation,3,Data Handling,False,8,tally marks worksheet beginner bw; tally chart worksheet beginner bw; count tally marks worksheet beginner bw; tally mark activity beginner bw; draw tally marks worksheet beginner bw; tally graph worksheet beginner bw; reading tally marks beginner bw; tally counting worksheet beginner bw; data handling tally marks beginner bw; tally marks kindergarten beginner bw,"SIMPLEST VERSION — Max scaffolding, minimal items. Count, draw, and interpret tally marks. Further: read tally charts and answer questions. Easier: count tally marks and write number. Further: match tally mark group to correct numeral."
30,Time - Analog Clock,30.0,Mastery,3,Measurement,False,12,analog clock worksheet bw; tell time worksheet bw; reading clock worksheet bw; clock practice worksheet bw; hour half hour worksheet bw; time to the hour worksheet bw; time to half hour worksheet bw; clock faces worksheet bw; telling time analog bw; what time is it worksheet bw,"Read analog clock to hour and half-hour. Mastery: read any hour/half-hour time. Easier: read hour only (e.g. 3:00, 7:00). Further: match clock face to written time (draw line)."
30,Time - Analog Clock,30.1,Easier_Remediation,3,Measurement,False,10,analog clock worksheet easy bw; tell time worksheet easy bw; reading clock worksheet easy bw; clock practice worksheet easy bw; hour half hour worksheet easy bw; time to the hour worksheet easy bw; time to half hour worksheet easy bw; clock faces worksheet easy bw; telling time analog easy bw; what time is it worksheet easy bw,"SIMPLER VERSION — Read analog clock to hour and half-hour. Easier: read any hour/half-hour time. Easier: read hour only (e.g. 3:00, 7:00). Further: match clock face to written time (draw line)."
30,Time - Analog Clock,30.2,Further_Remediation,3,Measurement,False,8,analog clock worksheet beginner bw; tell time worksheet beginner bw; reading clock worksheet beginner bw; clock practice worksheet beginner bw; hour half hour worksheet beginner bw; time to the hour worksheet beginner bw; time to half hour worksheet beginner bw; clock faces worksheet beginner bw; telling time analog beginner bw; what time is it worksheet beginner bw,"SIMPLEST VERSION — Max scaffolding, minimal items. Read analog clock to hour and half-hour. Further: read any hour/half-hour time. Easier: read hour only (e.g. 3:00, 7:00). Further: match clock face to written time (draw line)."
31,Ordinal Positions (1st-10th),31.0,Mastery,3,Number Sense,False,10,ordinal numbers worksheet bw; ordinal position worksheet bw; 1st to 10th worksheet bw; ordinal numbers kindergarten bw; positional words worksheet bw; first second third worksheet bw; order position worksheet bw; ordinal number activity bw; sequence position worksheet bw; ordinal words worksheet bw,"Identify ordinal positions 1st through 10th. Who is first? Who is third? Mastery: identify position in a line. Easier: identify with position numbers written on each spot. Further: match ordinal word (first, second, third) to position number (1st, 2nd, 3rd)."
31,Ordinal Positions (1st-10th),31.1,Easier_Remediation,3,Number Sense,False,8,ordinal numbers worksheet easy bw; ordinal position worksheet easy bw; 1st to 10th worksheet easy bw; ordinal numbers kindergarten easy bw; positional words worksheet easy bw; first second third worksheet easy bw; order position worksheet easy bw; ordinal number activity easy bw; sequence position worksheet easy bw; ordinal words worksheet easy bw,"SIMPLER VERSION — Identify ordinal positions 1st through 10th. Who is first? Who is third? Easier: identify position in a line. Easier: identify with position numbers written on each spot. Further: match ordinal word (first, second, third) to position number (1st, 2nd, 3rd)."
31,Ordinal Positions (1st-10th),31.2,Further_Remediation,3,Number Sense,False,8,ordinal numbers worksheet beginner bw; ordinal position worksheet beginner bw; 1st to 10th worksheet beginner bw; ordinal numbers kindergarten beginner bw; positional words worksheet beginner bw; first second third worksheet beginner bw; order position worksheet beginner bw; ordinal number activity beginner bw; sequence position worksheet beginner bw; ordinal words worksheet beginner bw,"SIMPLEST VERSION — Max scaffolding, minimal items. Identify ordinal positions 1st through 10th. Who is first? Who is third? Further: identify position in a line. Easier: identify with position numbers written on each spot. Further: match ordinal word (first, second, third) to position number (1st, 2nd, 3rd)."
32,Multiplication (Repeated Add),32.0,Mastery,3,Number Operations,False,12,multiplication repeated addition worksheet bw; equal groups worksheet bw; repeated addition worksheet bw; multiplication as repeated addition bw; equal groups multiplication bw; intro to multiplication worksheet bw; multiply with pictures worksheet bw; count equal groups worksheet bw; beginning multiplication worksheet bw; arrays repeated addition bw,Multiplication as repeated addition using equal groups and arrays. Mastery: write repeated addition sentence for equal groups (e.g. 3+3+3+3 = 4×3). Easier: count total in equal groups. Further: draw equal groups for given repeated addition.
32,Multiplication (Repeated Add),32.1,Easier_Remediation,3,Number Operations,False,10,multiplication repeated addition worksheet easy bw; equal groups worksheet easy bw; repeated addition worksheet easy bw; multiplication as repeated addition easy bw; equal groups multiplication easy bw; intro to multiplication worksheet easy bw; multiply with pictures worksheet easy bw; count equal groups worksheet easy bw; beginning multiplication worksheet easy bw; arrays repeated addition easy bw,SIMPLER VERSION — Multiplication as repeated addition using equal groups and arrays. Easier: write repeated addition sentence for equal groups (e.g. 3+3+3+3 = 4×3). Easier: count total in equal groups. Further: draw equal groups for given repeated addition.
32,Multiplication (Repeated Add),32.2,Further_Remediation,3,Number Operations,False,8,multiplication repeated addition worksheet beginner bw; equal groups worksheet beginner bw; repeated addition worksheet beginner bw; multiplication as repeated addition beginner bw; equal groups multiplication beginner bw; intro to multiplication worksheet beginner bw; multiply with pictures worksheet beginner bw; count equal groups worksheet beginner bw; beginning multiplication worksheet beginner bw; arrays repeated addition beginner bw,"SIMPLEST VERSION — Max scaffolding, minimal items. Multiplication as repeated addition using equal groups and arrays. Further: write repeated addition sentence for equal groups (e.g. 3+3+3+3 = 4×3). Easier: count total in equal groups. Further: draw equal groups for given repeated addition."
